"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive" "mean_negative" "weighted_mean_negative" "max_negative" "min_negative"
0.00554 14182 0 0.9957 1.0000 0.9848 0.9985 0.9985 1.0000 0.9944 0.9848 0.9848 0.9848 0.9848
0.00561 14181 0 0.9957 1.0000 0.9846 0.9984 0.9984 1.0000 0.9943 0.9846 0.9846 0.9846 0.9846
0.00568 14180 0 0.9956 1.0000 0.9844 0.9984 0.9984 1.0000 0.9942 0.9844 0.9844 0.9844 0.9844
0.00575 14179 0 0.9956 1.0000 0.9842 0.9984 0.9984 1.0000 0.9941 0.9842 0.9842 0.9842 0.9842
0.00582 14178 0 0.9955 1.0000 0.9841 0.9984 0.9984 1.0000 0.9941 0.9841 0.9841 0.9841 0.9841
0.00589 14177 0 0.9955 1.0000 0.9839 0.9984 0.9984 1.0000 0.9940 0.9839 0.9839 0.9839 0.9839
0.00596 14176 0 0.9954 1.0000 0.9837 0.9983 0.9983 1.0000 0.9939 0.9837 0.9837 0.9837 0.9837
0.00603 14175 0 0.9954 1.0000 0.9835 0.9983 0.9983 1.0000 0.9938 0.9835 0.9835 0.9835 0.9835
0.00610 14174 0 0.9953 1.0000 0.9833 0.9983 0.9983 1.0000 0.9938 0.9833 0.9833 0.9833 0.9833
0.00617 14173 0 0.9952 1.0000 0.9831 0.9983 0.9983 1.0000 0.9937 0.9831 0.9831 0.9831 0.9831
0.00624 14172 0 0.9952 1.0000 0.9829 0.9983 0.9983 1.0000 0.9936 0.9829 0.9829 0.9829 0.9829
0.00631 14171 0 0.9951 1.0000 0.9827 0.9982 0.9982 1.0000 0.9935 0.9827 0.9827 0.9827 0.9827
0.00638 14170 0 0.9951 1.0000 0.9826 0.9982 0.9982 1.0000 0.9935 0.9826 0.9826 0.9826 0.9826
0.00645 14169 0 0.9950 1.0000 0.9824 0.9982 0.9982 1.0000 0.9934 0.9824 0.9824 0.9824 0.9824
0.00652 14168 0 0.9950 1.0000 0.9822 0.9982 0.9982 1.0000 0.9933 0.9822 0.9822 0.9822 0.9822
0.00659 14167 0 0.9949 1.0000 0.9820 0.9982 0.9982 1.0000 0.9932 0.9820 0.9820 0.9820 0.9820
0.00666 14166 0 0.9949 1.0000 0.9818 0.9981 0.9981 1.0000 0.9932 0.9818 0.9818 0.9818 0.9818
