"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01391 30417 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01401 30414 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01410 30411 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01420 30408 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01430 30405 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01439 30402 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01449 30399 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01459 30396 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01469 30393 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01478 30390 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01488 30387 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01498 30384 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01507 30381 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01517 30378 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01527 30375 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01537 30372 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01546 30369 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01556 30366 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01566 30363 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01576 30360 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01585 30357 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01595 30354 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01605 30351 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01614 30348 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01624 30345 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01634 30342 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01644 30339 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01653 30336 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01663 30333 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01673 30330 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
